x,y,U,Err(U),Err(DU),Last Update Type, DU_x,DU_y
-0.992188,-0.015625,0.992368,-1.01544,-0.0312483,2.75457e-06,2.45728e-06,2
-0.992188,-0.0078125,0.992185,-1.01545,-0.0156198,2.74775e-06,7.43718e-06,2
-0.992188,0,0.992124,-1.01549,5.05905e-05,2.58004e-06,7.15422e-05,2
-0.992188,0.0078125,0.992185,-1.01548,0.0156642,2.5886e-06,5.46254e-05,2
-0.992188,0.015625,0.992368,-1.01547,0.0312822,2.59201e-06,4.41835e-05,2
-0.992188,0.0234375,0.992674,-1.01547,0.0469026,2.59204e-06,3.73609e-05,2
-0.992188,0.03125,0.993101,-1.01546,0.0625245,2.58928e-06,3.26791e-05,2
-0.992188,0.0390625,0.99365,-1.01546,0.0781472,2.58416e-06,2.92687e-05,2
-0.992188,0.046875,0.994322,-1.01546,0.0937704,2.57746e-06,2.65756e-05,2
-0.992188,0.0546875,0.995115,-1.01546,0.109394,2.57044e-06,2.42572e-05,2
-0.992188,0.0625,0.996031,-1.01546,0.125017,2.56453e-06,2.21439e-05,2
-0.992188,0.0703125,0.997068,-1.01545,0.140641,2.56091e-06,2.0204e-05,2
-0.992188,0.078125,0.998228,-1.01545,0.156265,2.5601e-06,1.84922e-05,2
-0.992188,0.0859375,0.99951,-1.01545,0.171889,2.56172e-06,1.70885e-05,2
-0.992188,0.09375,1.00091,-1.01545,0.187513,2.56464e-06,1.60477e-05,2
-0.992188,0.101562,1.00244,-1.01545,0.203138,2.56727e-06,1.53748e-05,2
-0.992188,0.109375,1.00409,-1.01545,0.218763,2.56793e-06,1.50293e-05,2
-0.992188,0.117188,1.00586,-1.01545,0.234388,2.56512e-06,1.49437e-05,2
-0.992188,0.125,1.00859,-1.12219,0.633905,0.000842436,0.398469,1
-0.992188,0.132812,1.01578,-1.00063,1.03968,0.00601259,0.774197,2
-0.992188,0.140625,inf,inf,inf,inf,inf,0
-0.992188,0.148438,inf,inf,inf,inf,inf,0
-0.992188,0.15625,inf,inf,inf,inf,inf,0
-0.992188,0.164062,inf,inf,inf,inf,inf,0
-0.992188,0.171875,inf,inf,inf,inf,inf,0
-0.992188,0.179688,inf,inf,inf,inf,inf,0
-0.992188,0.1875,inf,inf,inf,inf,inf,0
-0.992188,0.195312,inf,inf,inf,inf,inf,0
-0.992188,0.203125,inf,inf,inf,inf,inf,0
-0.992188,0.210938,inf,inf,inf,inf,inf,0
-0.992188,0.21875,inf,inf,inf,inf,inf,0
-0.992188,0.226562,inf,inf,inf,inf,inf,0
-0.992188,0.234375,inf,inf,inf,inf,inf,0
-0.992188,0.242188,inf,inf,inf,inf,inf,0
-0.992188,0.25,inf,inf,inf,inf,inf,0
-0.992188,0.257812,inf,inf,inf,inf,inf,0
-0.992188,0.265625,inf,inf,inf,inf,inf,0
-0.992188,0.273438,inf,inf,inf,inf,inf,0
-0.992188,0.28125,inf,inf,inf,inf,inf,0
-0.992188,0.289062,inf,inf,inf,inf,inf,0
-0.992188,0.296875,inf,inf,inf,inf,inf,0
-0.992188,0.304688,inf,inf,inf,inf,inf,0
-0.992188,0.3125,inf,inf,inf,inf,inf,0
-0.992188,0.320312,inf,inf,inf,inf,inf,0
-0.992188,0.328125,inf,inf,inf,inf,inf,0
-0.992188,0.335938,inf,inf,inf,inf,inf,0
-0.992188,0.34375,inf,inf,inf,inf,inf,0
-0.992188,0.351562,inf,inf,inf,inf,inf,0
-0.992188,0.359375,inf,inf,inf,inf,inf,0
-0.992188,0.367188,inf,inf,inf,inf,inf,0
-0.992188,0.375,inf,inf,inf,inf,inf,0
-0.992188,0.382812,inf,inf,inf,inf,inf,0
-0.992188,0.390625,inf,inf,inf,inf,inf,0
-0.992188,0.398438,inf,inf,inf,inf,inf,0
-0.992188,0.40625,inf,inf,inf,inf,inf,0
-0.992188,0.414062,inf,inf,inf,inf,inf,0
-0.992188,0.421875,inf,inf,inf,inf,inf,0
-0.992188,0.429688,inf,inf,inf,inf,inf,0
-0.992188,0.4375,inf,inf,inf,inf,inf,0
-0.992188,0.445312,inf,inf,inf,inf,inf,0
-0.992188,0.453125,inf,inf,inf,inf,inf,0
-0.992188,0.460938,inf,inf,inf,inf,inf,0
-0.992188,0.46875,inf,inf,inf,inf,inf,0
-0.992188,0.476562,inf,inf,inf,inf,inf,0
-0.992188,0.484375,inf,inf,inf,inf,inf,0
-0.992188,0.492188,inf,inf,inf,inf,inf,0
-0.992188,0.5,inf,inf,inf,inf,inf,0
-0.992188,0.507812,inf,inf,inf,inf,inf,0
-0.992188,0.515625,inf,inf,inf,inf,inf,0
-0.992188,0.523438,inf,inf,inf,inf,inf,0
-0.992188,0.53125,inf,inf,inf,inf,inf,0
-0.992188,0.539062,inf,inf,inf,inf,inf,0
-0.992188,0.546875,inf,inf,inf,inf,inf,0
-0.992188,0.554688,inf,inf,inf,inf,inf,0
-0.992188,0.5625,inf,inf,inf,inf,inf,0
-0.992188,0.570312,inf,inf,inf,inf,inf,0
-0.992188,0.578125,inf,inf,inf,inf,inf,0
-0.992188,0.585938,inf,inf,inf,inf,inf,0
-0.992188,0.59375,inf,inf,inf,inf,inf,0
